,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Putki Pekkanen Oy,07.10.2015,
1,Y-tunnus,2715437-6,,
2,Kotipaikka,Muurame,07.10.2015,
3,Yritysmuoto,Osakeyhtiö,07.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,07.10.2015,,
6,Viimeisin rekisteröintiajankohta,07.10.2022,07.10.2022,
7,Yrityksen tiedot järjestelmässä alkaen,07.10.2015,,
8,Yrityksen tila,Rekisterissä,07.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,07.10.2022,
11,Yhteystiedot,,02.10.2015,
12,Postiosoite,Muuratsalon eteläpääntie 35a  40900  Säynätsalo  Suomi,,
13,Käyntiosoite,Pienmäentie 12  41490  Niemisjärvi  Suomi,,
14,Puhelin,"0443712446, 0504321460",,
15,Sähköposti,joonas.pekkanen(a)pektec.fi,,
16,Www,http://www.pektec.fi,,
