,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Niipperi Group Oy,25.02.2015,
1,Y-tunnus,2668463-1,,
2,Kotipaikka,Espoo,25.02.2015,
3,Yritysmuoto,Osakeyhtiö,25.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,25.02.2015,,
6,Viimeisin rekisteröintiajankohta,09.06.2022,09.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,25.02.2015,,
8,Yrityksen tila,Rekisterissä,25.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,31.08.2018,
12,Postiosoite,Niipperinniitty 7 B  02920  Espoo  Suomi,,
13,Käyntiosoite,Niipperinniitty 7 B  02920  Espoo  Suomi,,
14,Puhelin,0400-576674,,
15,Sähköposti,kristiina.nordqvist(a)niipperi.com,,
16,Www,http://www.niipperi.com,,
