,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Janari Rakennus Oy,28.10.2015,
1,Y-tunnus,2716239-2,,
2,Kotipaikka,Vantaa,28.10.2015,
3,Yritysmuoto,Osakeyhtiö,28.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,28.10.2015,,
6,Viimeisin rekisteröintiajankohta,31.12.2022,31.12.2022,
7,Yrityksen tiedot järjestelmässä alkaen,28.10.2015,,
8,Yrityksen tila,Rekisterissä,28.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,07.10.2015,
12,Postiosoite,Väinö Tannerintie 17 A 5  01510  Vantaa  Suomi,,
13,Puhelin,"+358442800313, +358442800313",,
14,Sähköposti,janarstenberg(a)gmail.com,,
15,Www,http://www.janarirakennus.com,,
