,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Warecomp Oy,22.06.2015,
1,Y-tunnus,2697111-2,,
2,Kotipaikka,Heinola,22.06.2015,
3,Yritysmuoto,Osakeyhtiö,22.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,22.06.2015,,
6,Viimeisin rekisteröintiajankohta,10.09.2022,10.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,22.06.2015,,
8,Yrityksen tila,Rekisterissä,22.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,25.06.2020,
11,Yhteystiedot,,16.05.2017,
12,Postiosoite,c/o Jari Lahtinen  Naavatie 17  18120  Heinola  Suomi,,
13,Käyntiosoite,c/o Jari Lahtinen  Naavatie 17  18120  Heinola  Suomi,,
14,Puhelin,"044 328 6486, 044 328 6486",,
