,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Perinnehoito Wanha Vanamo Oy,05.02.2016,
1,Y-tunnus,2735383-4,,
2,Kotipaikka,Tuusniemi,05.02.2016,
3,Yritysmuoto,Osakeyhtiö,05.02.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,05.02.2016,,
6,Lakkaamisajankohta,12.04.2021,12.04.2021,
7,Viimeisin rekisteröintiajankohta,12.04.2021,12.04.2021,
8,Yrityksen tiedot järjestelmässä alkaen,05.02.2016,,
9,Yrityksen tila,Lakannut,12.04.2021,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
