,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Lehmus Design Oy,24.11.2015,
1,Y-tunnus,2721336-4,,
2,Kotipaikka,Pirkkala,24.11.2015,
3,Yritysmuoto,Osakeyhtiö,24.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,24.11.2015,,
6,Viimeisin rekisteröintiajankohta,29.06.2022,29.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,24.11.2015,,
8,Yrityksen tila,Rekisterissä,24.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,17.12.2019,
11,Yhteystiedot,,29.10.2015,
12,Postiosoite,Loukonlahdentie 9 B 10  33950  Pirkkala  Suomi,,
13,Käyntiosoite,Loukonlahdentie 9 B 10  33950  Pirkkala  Suomi,,
14,Puhelin,0505968059,,
15,Sähköposti,annulehmus(a)hotmail.com,,
