,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,1367 Minna Männistö Oy,16.03.2015,
1,Y-tunnus,2680102-5,,
2,Kotipaikka,Tampere,16.03.2015,
3,Yritysmuoto,Osakeyhtiö,16.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.03.2015,,
6,Viimeisin rekisteröintiajankohta,05.10.2017,05.10.2017,
7,Yrityksen tiedot järjestelmässä alkaen,16.03.2015,,
8,Yrityksen tila,Rekisterissä,16.03.2015,
9,Yrityksen tilanne,Konkurssissa,05.10.2017,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
11,Yrityksellä on edunsaajatietoja,Ei,,
12,Yhteystiedot,,06.03.2015,
13,Postiosoite,Hakkarinkatu 4  33270  Tampere  Suomi,,
14,Käyntiosoite,c/o R-kioski Tampere Tesoma  Tesoman valtatie 37  33310  Tampere  Suomi,,
