,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,IAIK Oy,28.01.2015,
1,Y-tunnus,2664374-1,,
2,Kotipaikka,Oulu,28.01.2015,
3,Yritysmuoto,Osakeyhtiö,28.01.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,28.01.2015,,
6,Viimeisin rekisteröintiajankohta,21.06.2022,21.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,28.01.2015,,
8,Yrityksen tila,Rekisterissä,28.01.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,21.06.2022,
11,Yhteystiedot,,25.05.2022,
12,Postiosoite,c/o Matti Kaski  Nummikatu 4  90100  Oulu  Suomi,,
13,Käyntiosoite,c/o Matti Kaski  Nummikatu 4  90100  Oulu  Suomi,,
