,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,The Flying Dutchman Nomad Brewing Company Oy,14.08.2015,
1,Y-tunnus,2700948-6,,
2,Kotipaikka,Vantaa,14.08.2015,
3,Yritysmuoto,Osakeyhtiö,14.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,14.08.2015,,
6,Viimeisin rekisteröintiajankohta,21.12.2022,21.12.2022,
7,Yrityksen tiedot järjestelmässä alkaen,14.08.2015,,
8,Yrityksen tila,Rekisterissä,14.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,01.04.2020,
11,Yhteystiedot,,16.07.2015,
12,Postiosoite,Tapolankuja 2  01760  Vantaa  Suomi,,
13,Puhelin,050-594 70 27,,
14,Sähköposti,ronald.flyingdutchman(a)gmail.com,,
