,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Karlsson Consult Oy,13.01.2016,
1,Y-tunnus,2733623-3,,
2,Kotipaikka,Espoo,13.01.2016,
3,Yritysmuoto,Osakeyhtiö,13.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,13.01.2016,,
6,Viimeisin rekisteröintiajankohta,11.05.2023,11.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,13.01.2016,,
8,Yrityksen tila,Rekisterissä,13.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,19.09.2019,
11,Yhteystiedot,,28.12.2015,
12,Postiosoite,Muolaanpuisto 16 A  02140  Espoo  Suomi,,
13,Käyntiosoite,Muolaanpuisto 16 A  02140  Espoo  Suomi,,
14,Puhelin,"0500 456782, +358500 456782",,
15,Sähköposti,matti.karlsson(a)sello.fi,,
