,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Puunkorjuu Korhonen OY,31.10.2020,
1,Y-tunnus,2714245-5,,
2,Kotipaikka,Lapinlahti,12.11.2015,
3,Yritysmuoto,Osakeyhtiö,12.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,12.11.2015,,
6,Viimeisin rekisteröintiajankohta,02.11.2020,02.11.2020,
7,Yrityksen tiedot järjestelmässä alkaen,12.11.2015,,
8,Yrityksen tila,Rekisterissä,31.10.2020,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,27.08.2020,
11,Yhteystiedot,,22.08.2016,
12,Postiosoite,Jonsantie 1062  73200  Varpaisjärvi  Suomi,,
13,Käyntiosoite,Jonsantie 1062  73200  Varpaisjärvi  Suomi,,
14,Puhelin,0503091260,,
15,Sähköposti,puunkorjuu.tapani.korhonen(a)gmail.com,,
