,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Intec Ingemar Nylund Ab,29.05.2015,
1,Y-tunnus,2691528-4,,
2,Kotipaikka,Mustasaari,29.05.2015,
3,Yritysmuoto,Osakeyhtiö,29.05.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,29.05.2015,,
6,Viimeisin rekisteröintiajankohta,10.03.2023,10.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,29.05.2015,,
8,Yrityksen tila,Rekisterissä,29.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,09.10.2019,
11,Yhteystiedot,,07.09.2015,
12,Postiosoite,c/o Intec  Rönnvikvägen 191 A 1  66580  Kuni  Suomi,,
13,Käyntiosoite,c/o Intec  Rönnvikvägen 191 A 1  66580  Kuni  Suomi,,
14,Puhelin,040 8307776,,
15,Sähköposti,ingemar.nylund(a)gmail.com,,
