,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Selkosilla Oy,14.07.2015,
1,Y-tunnus,2699338-9,,
2,Kotipaikka,Oulu,14.07.2015,
3,Yritysmuoto,Osakeyhtiö,14.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,14.07.2015,,
6,Viimeisin rekisteröintiajankohta,03.12.2022,03.12.2022,
7,Yrityksen tiedot järjestelmässä alkaen,14.07.2015,,
8,Yrityksen tila,Rekisterissä,14.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,06.04.2020,
11,Yhteystiedot,,02.07.2015,
12,Postiosoite,Tokantie 8  90800  Oulu  Suomi,,
13,Käyntiosoite,Tokantie 8  90800  Oulu  Suomi,,
14,Puhelin,0407353678,,
15,Sähköposti,toni_soini(a)yahoo.com,,
