,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Okupo Oy,12.03.2015,
1,Y-tunnus,2677753-9,,
2,Kotipaikka,Helsinki,12.03.2015,
3,Yritysmuoto,Osakeyhtiö,12.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,12.03.2015,,
6,Viimeisin rekisteröintiajankohta,29.04.2022,29.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,12.03.2015,,
8,Yrityksen tila,Rekisterissä,12.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,10.01.2022,
11,Yhteystiedot,,21.01.2022,
12,Postiosoite,Vesirattaantie 5 B 4  02740  Espoo  Suomi,,
13,Käyntiosoite,Vesirattaantie 5 B 4  02740  Espoo  Suomi,,
14,Puhelin,0452300078,,
15,Sähköposti,juho.kirstina(a)tekova.fi,,
16,Www,http://www.okupo.fi,,
