,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Helsingin Penni Oy,19.05.2015,
1,Y-tunnus,2690307-2,,
2,Kotipaikka,Helsinki,19.05.2015,
3,Yritysmuoto,Osakeyhtiö,19.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,19.05.2015,,
6,Viimeisin rekisteröintiajankohta,12.10.2022,12.10.2022,
7,Yrityksen tiedot järjestelmässä alkaen,19.05.2015,,
8,Yrityksen tila,Rekisterissä,19.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,20.05.2020,
11,Yhteystiedot,,07.05.2021,
12,Postiosoite,Suomenlinna C 54 C 23  00190  Helsinki  Suomi,,
13,Käyntiosoite,Suomenlinna C 54 C 23  00190  Helsinki  Suomi,,
14,Puhelin,+358407662202,,
15,Sähköposti,lauri(a)lauritamminen.fi,,
16,Www,http://www.lauritamminen.fi,,
