,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Scopos Oy,02.02.2015,
1,Y-tunnus,2667142-7,,
2,Kotipaikka,Joensuu,02.02.2015,
3,Yritysmuoto,Osakeyhtiö,02.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,02.02.2015,,
6,Viimeisin rekisteröintiajankohta,22.07.2022,22.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,02.02.2015,,
8,Yrityksen tila,Rekisterissä,02.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,17.02.2015,
12,Postiosoite,Ilveksenkatu 4  80130  Joensuu  Suomi,,
13,Puhelin,0500 671 783,,
14,Sähköposti,anna.korkeela(a)gmail.com,,
