,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Rakennusliike RANIRA Oy,27.04.2015,
1,Y-tunnus,2687874-3,,
2,Kotipaikka,Mikkeli,27.04.2015,
3,Yritysmuoto,Osakeyhtiö,27.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,27.04.2015,,
6,Viimeisin rekisteröintiajankohta,29.11.2022,29.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,27.04.2015,,
8,Yrityksen tila,Rekisterissä,27.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,31.12.2021,
11,Yhteystiedot,,17.01.2020,
12,Postiosoite,c/o Maaherrankatu 48 lh 4  Maaherrankatu 48 lh. 4  50100  Mikkeli  Suomi,,
13,Käyntiosoite,Maaherrankatu 48 lh. 4  50100  Mikkeli  Suomi,,
14,Puhelin,0505212387,,
15,Sähköposti,rak.ranira(a)gmail.com,,
16,Www,http://www.ranira.fi,,
