,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,MY FASCIA OY,10.02.2015,
1,Y-tunnus,2671977-7,,
2,Kotipaikka,Tampere,10.02.2015,
3,Yritysmuoto,Osakeyhtiö,10.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,10.02.2015,,
6,Viimeisin rekisteröintiajankohta,24.01.2023,24.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,10.02.2015,,
8,Yrityksen tila,Rekisterissä,10.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,26.06.2020,
11,Yhteystiedot,,22.10.2019,
12,Postiosoite,c/o Tuulia Luomala  Hakkarintie 5  37550  Lempäälä  Suomi,,
13,Käyntiosoite,c/o Tuulia Luomala  Hakkarintie 5  37550  Lempäälä  Suomi,,
14,Sähköposti,tuulia.luomala(a)myfascia.fi,,
15,Www,http://www.myfascia.fi,,
