,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Forty4 Ab,11.11.2015,
1,Y-tunnus,2717622-5,,
2,Kotipaikka,Helsinki,11.11.2015,
3,Yritysmuoto,Osakeyhtiö,11.11.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,11.11.2015,,
6,Viimeisin rekisteröintiajankohta,30.10.2021,30.10.2021,
7,Yrityksen tiedot järjestelmässä alkaen,11.11.2015,,
8,Yrityksen tila,Rekisterissä,11.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,24.06.2020,
11,Yhteystiedot,,22.08.2016,
12,Postiosoite,c/o Gustavsson  Capellan Puistotie 6 A 10  00540  Helsingfors  Suomi,,
13,Puhelin,0407676987,,
14,Sähköposti,minnamarika(a)yahoo.com,,
