,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kiinteistö Oy Kangasalan Talliosake 5,06.03.2015,
1,Y-tunnus,2677091-9,,
2,Kotipaikka,Kangasala,06.03.2015,
3,Yritysmuoto,Osakeyhtiö,06.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,06.03.2015,,
6,Viimeisin rekisteröintiajankohta,01.08.2022,01.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,06.03.2015,,
8,Yrityksen tila,Rekisterissä,06.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,01.04.2021,
12,Postiosoite,c/o Tampereen Tili ja Kiinteistö  Kalevan puistotie 7  33500  Tampere  Suomi,,
13,Puhelin,040 152 5624,,
14,Sähköposti,matias.kulmala(a)tamtiki.fi,,
15,Www,http://www.tamtiki.fi,,
