,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,JAJ Purmonen Oy,24.11.2015,
1,Y-tunnus,2724744-1,,
2,Kotipaikka,Kuopio,24.11.2015,
3,Yritysmuoto,Osakeyhtiö,24.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,24.11.2015,,
6,Viimeisin rekisteröintiajankohta,20.01.2023,20.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,24.11.2015,,
8,Yrityksen tila,Rekisterissä,24.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,20.05.2020,
11,Yhteystiedot,,20.12.2018,
12,Postiosoite,Pappilanniementie 11  71200  Tuusniemi  Suomi,,
13,Käyntiosoite,Pappilanniementie 11  71200  Tuusniemi  Suomi,,
14,Puhelin,0405714813,,
15,Sähköposti,jaakko.purmonen(a)op.fi,,
