,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Vress Oy,14.10.2015,
1,Y-tunnus,2717060-8,,
2,Kotipaikka,Helsinki,14.10.2015,
3,Yritysmuoto,Osakeyhtiö,14.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,14.10.2015,,
6,Viimeisin rekisteröintiajankohta,19.07.2022,19.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,14.10.2015,,
8,Yrityksen tila,Rekisterissä,14.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,04.04.2022,
11,Yhteystiedot,,04.04.2022,
12,Postiosoite,Pursimiehenkatu 14 C 49  00150  Helsinki  Suomi,,
13,Puhelin,"0400636733, 0400636733",,
