,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,MD Hannah Niskanen Oy,23.12.2015,
1,Y-tunnus,2731908-9,,
2,Kotipaikka,Laukaa,23.12.2015,
3,Yritysmuoto,Osakeyhtiö,23.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,23.12.2015,,
6,Viimeisin rekisteröintiajankohta,21.04.2022,21.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,23.12.2015,,
8,Yrityksen tila,Rekisterissä,23.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,12.01.2020,
11,Yhteystiedot,,26.06.2018,
12,Postiosoite,Äijäläntie 68  41370  Kuusa  Suomi,,
13,Puhelin,0400 564250,,
14,Sähköposti,niskanen.hannah(a)gmail.com,,
