,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Tres Amigos Capital Oy,27.08.2015,
1,Y-tunnus,2703001-5,,
2,Kotipaikka,Seinäjoki,27.08.2015,
3,Yritysmuoto,Osakeyhtiö,27.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,27.08.2015,,
6,Viimeisin rekisteröintiajankohta,19.05.2022,19.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,27.08.2015,,
8,Yrityksen tila,Rekisterissä,27.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,04.08.2020,
11,Yhteystiedot,,31.08.2021,
12,Postiosoite,Puurtajantie 18  60100  Seinäjoki  Suomi,,
13,Puhelin,"0505245119, 0505245119",,
14,Sähköposti,henri(a)lannenmaalampo.fi,,
