,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Putkikoira Oy,30.01.2015,
1,Y-tunnus,2669919-8,,
2,Kotipaikka,Vantaa,30.01.2015,
3,Yritysmuoto,Osakeyhtiö,30.01.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,30.01.2015,,
6,Viimeisin rekisteröintiajankohta,04.08.2022,04.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,30.01.2015,,
8,Yrityksen tila,Rekisterissä,30.01.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,26.01.2015,
12,Postiosoite,c/o Puolakka  Helmikuja 8 B 13  01600  Vantaa  Suomi,,
13,Käyntiosoite,c/o Puolakka  Helmikuja 8 B 13  01600  Vantaa  Suomi,,
14,Sähköposti,esa.puolakka(a)pp.inet.fi,,
