,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,BerryTimeNow Oy,29.03.2019,
1,Y-tunnus,2721095-6,,
2,Kotipaikka,Helsinki,29.03.2019,
3,Yritysmuoto,Osakeyhtiö,18.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,18.11.2015,,
6,Viimeisin rekisteröintiajankohta,11.11.2020,11.11.2020,
7,Yrityksen tiedot järjestelmässä alkaen,18.11.2015,,
8,Yrityksen tila,Rekisterissä,18.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,10.04.2019,
12,Postiosoite,c/o BerryTimeNow Oy  Akselinpolku 11 B 11  02230  Espoo  Suomi,,
13,Käyntiosoite,c/o BerryTimeNow Oy  Akselinpolku 11 B 11  02230  Espoo  Suomi,,
14,Puhelin,+358409696100,,
15,Sähköposti,juha(a)marjatkotiin.fi,,
16,Www,http://www.marjatkotiin.fi,,
