,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Risto Reipas Oy,20.08.2015,
1,Y-tunnus,2705066-5,,
2,Kotipaikka,Oulu,20.08.2015,
3,Yritysmuoto,Osakeyhtiö,20.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.08.2015,,
6,Viimeisin rekisteröintiajankohta,05.04.2023,05.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,20.08.2015,,
8,Yrityksen tila,Rekisterissä,20.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,11.04.2021,
12,Postiosoite,c/o Juha Mäkelä  Kenttäpostintie 16  90150  Oulu  Suomi,,
13,Käyntiosoite,c/o Economic Capital Oy  Kauppurienkatu 23 A  90100  Oulu  Suomi,,
14,Puhelin,0403539924,,
15,Sähköposti,juharisto(a)icloud.com,,
16,Www,http://www.ristoreipas.fi,,
