,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Spirit of Tom Oy,02.12.2015,
1,Y-tunnus,2726187-6,,
2,Kotipaikka,Helsinki,02.12.2015,
3,Yritysmuoto,Osakeyhtiö,02.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,02.12.2015,,
6,Viimeisin rekisteröintiajankohta,06.05.2022,06.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,02.12.2015,,
8,Yrityksen tila,Rekisterissä,02.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,20.05.2020,
11,Yhteystiedot,,04.07.2016,
12,Postiosoite,Vipusentie 26 B 4  00610  Helsinki  Suomi,,
13,Puhelin,050 328 4544,,
14,Sähköposti,olli.hietalahti(a)oneeyedspirits.com,,
15,Www,http://www.oneeyedspirits.com,,
