,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,UniikkiPakkaus Hietanen Oy,16.11.2015,
1,Y-tunnus,2724850-8,,
2,Kotipaikka,Savonlinna,16.11.2015,
3,Yritysmuoto,Osakeyhtiö,16.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.11.2015,,
6,Viimeisin rekisteröintiajankohta,06.04.2022,06.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,16.11.2015,,
8,Yrityksen tila,Rekisterissä,16.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,13.11.2015,
12,Postiosoite,c/o Mika Hietanen  Verkkotie 10  57710  Savonlinna  Suomi,,
13,Käyntiosoite,c/o Mika Hietanen  Ainonkatu 8-9  57200  Savonlinna  Suomi,,
14,Puhelin,044 7253021,,
15,Sähköposti,mika.hietanen21(a)luukku.com,,
