,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Vestiarium Oy,07.10.2015,
1,Y-tunnus,2714241-2,,
2,Kotipaikka,Helsinki,07.10.2015,
3,Yritysmuoto,Osakeyhtiö,07.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,07.10.2015,,
6,Viimeisin rekisteröintiajankohta,06.04.2022,06.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,07.10.2015,,
8,Yrityksen tila,Rekisterissä,07.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,28.05.2020,
11,Yhteystiedot,,29.12.2021,
12,Postiosoite,c/o Camilla Mikama  Sotilastorpantie 5 A  02680  Espoo  Suomi,,
13,Puhelin,+358452101435,,
14,Sähköposti,contact(a)vestiarium.net,,
15,Www,http://www.vestiarium.net,,
