,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Puheterapia Karila Oy,13.01.2016,
1,Y-tunnus,2734254-5,,
2,Kotipaikka,Vantaa,13.01.2016,
3,Yritysmuoto,Osakeyhtiö,13.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,13.01.2016,,
6,Viimeisin rekisteröintiajankohta,31.01.2023,31.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,13.01.2016,,
8,Yrityksen tila,Rekisterissä,13.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,03.10.2019,
11,Yhteystiedot,,31.12.2015,
12,Postiosoite,Seijantie 6  01420  Vantaa  Suomi,,
13,Puhelin,050 525 1438,,
14,Sähköposti,pia.karila(a)gmail.com,,
