,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Koopari Oy,01.04.2015,
1,Y-tunnus,2677578-7,,
2,Kotipaikka,Helsinki,01.04.2015,
3,Yritysmuoto,Osakeyhtiö,01.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.03.2015,,
6,Viimeisin rekisteröintiajankohta,29.09.2022,29.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,16.03.2015,,
8,Yrityksen tila,Rekisterissä,16.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,15.06.2020,
11,Yhteystiedot,,15.03.2023,
12,Postiosoite,c/o Koopari Oy  Koetilankatu 5 B 6  01520  Vantaa  Suomi,,
13,Käyntiosoite,c/o Koopari Oy  Koetilankatu 5 B 6  01520  Vantaa  Suomi,,
14,Puhelin,+358505856921,,
15,Sähköposti,hannu.lehtinen10(a)gmail.com,,
