,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Lentävä Poro Oy,10.04.2015,
1,Y-tunnus,2682693-5,,
2,Kotipaikka,Rovaniemi,10.04.2015,
3,Yritysmuoto,Osakeyhtiö,10.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,10.04.2015,,
6,Viimeisin rekisteröintiajankohta,17.09.2020,17.09.2020,
7,Yrityksen tiedot järjestelmässä alkaen,10.04.2015,,
8,Yrityksen tila,Rekisterissä,10.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,25.08.2020,
11,Yhteystiedot,,10.08.2021,
12,Postiosoite,c/o Jonne Suopajärvi  Kansankatu 12 A 8 a  96100  Rovaniemi  Suomi,,
13,Käyntiosoite,c/o Jonne Suopajärvi  Kansankatu 12 A 8 a  96100  Rovaniemi  Suomi,,
14,Puhelin,"0407462301, 0407462301",,
15,Sähköposti,jonne.suopajarvi123(a)gmail.com,,
16,Www,http://www.lentavaporonteatteri.fi,,
