,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,M&N Future Investment Oy,07.08.2015,
1,Y-tunnus,2698520-7,,
2,Kotipaikka,Vantaa,07.08.2015,
3,Yritysmuoto,Osakeyhtiö,07.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,07.08.2015,,
6,Viimeisin rekisteröintiajankohta,08.04.2022,08.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,07.08.2015,,
8,Yrityksen tila,Rekisterissä,07.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,31.10.2019,
11,Yhteystiedot,,08.03.2021,
12,Postiosoite,c/o Mikko Soininen  Punanotkonkatu 2 B 80  00130  Helsinki  Suomi,,
13,Puhelin,0407080393,,
