,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Hiuka Oy,18.02.2015,
1,Y-tunnus,2673090-9,,
2,Kotipaikka,Helsinki,18.02.2015,
3,Yritysmuoto,Osakeyhtiö,18.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,18.02.2015,,
6,Viimeisin rekisteröintiajankohta,13.06.2022,13.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,18.02.2015,,
8,Yrityksen tila,Rekisterissä,18.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,13.06.2022,
11,Yhteystiedot,,10.01.2022,
12,Postiosoite,c/o Ville Riippa  Töölönkatu 28 A 54  00260  Helsinki  Suomi,,
13,Puhelin,0505434080,,
14,Sähköposti,ville.riippa(a)gmail.com,,
