,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,MNG TRANSPORT OY,24.09.2015,
1,Y-tunnus,2710850-5,,
2,Kotipaikka,Helsinki,24.09.2015,
3,Yritysmuoto,Osakeyhtiö,24.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,24.09.2015,,
6,Viimeisin rekisteröintiajankohta,30.03.2023,30.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,24.09.2015,,
8,Yrityksen tila,Rekisterissä,24.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,25.02.2021,
11,Yhteystiedot,,14.09.2015,
12,Postiosoite,Rapparintie 7 A  00600  Helsinki  Suomi,,
13,Käyntiosoite,Rapparintie 7 A  00600  Helsinki  Suomi,,
14,Puhelin,0409306390,,
15,Sähköposti,svenmening(a)gmail.com,,
