,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Statuta Oy,18.02.2015,
1,Y-tunnus,2674093-9,,
2,Kotipaikka,Helsinki,18.02.2015,
3,Yritysmuoto,Osakeyhtiö,18.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,18.02.2015,,
6,Viimeisin rekisteröintiajankohta,29.04.2022,29.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,18.02.2015,,
8,Yrityksen tila,Rekisterissä,18.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,30.01.2020,
11,Yhteystiedot,,01.07.2021,
12,Postiosoite,Käpyläntie 7 A 14  00600  Helsinki  Suomi,,
13,Käyntiosoite,Käpyläntie 7 A 14  00600  Helsinki  Suomi,,
14,Puhelin,"0400554456, 0400554456",,
15,Sähköposti,reija.timperi(a)statuta.fi,,
