,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kaiserstuhl Oy,07.04.2015,
1,Y-tunnus,2682620-6,,
2,Kotipaikka,Tampere,07.04.2015,
3,Yritysmuoto,Osakeyhtiö,07.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,07.04.2015,,
6,Viimeisin rekisteröintiajankohta,21.05.2022,21.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,07.04.2015,,
8,Yrityksen tila,Rekisterissä,07.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,06.03.2020,
11,Yhteystiedot,,20.03.2015,
12,Postiosoite,Pienkodinkatu 9 F 15  33560  Tampere  Suomi,,
13,Puhelin,0505521180,,
14,Sähköposti,markku.korhonen(a)urhotv.fi,,
