,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Lakeuden Perustus Oy,30.03.2015,
1,Y-tunnus,2682501-9,,
2,Kotipaikka,Kalajoki,30.03.2015,
3,Yritysmuoto,Osakeyhtiö,30.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,30.03.2015,,
6,Viimeisin rekisteröintiajankohta,27.01.2023,27.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,30.03.2015,,
8,Yrityksen tila,Rekisterissä,30.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,19.01.2021,
12,Postiosoite,Juseliuksentie 17  85100  Kalajoki  Suomi,,
13,Käyntiosoite,Juseliuksentie 17  85100  Kalajoki  Suomi,,
14,Puhelin,"0504048992, 0504048992",,
15,Sähköposti,henri.karkinen(a)hotmail.com,,
