,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Lämpö- ja kylmäasennus Välimäki Oy,12.11.2015,
1,Y-tunnus,2721082-5,,
2,Kotipaikka,Tyrnävä,12.11.2015,
3,Yritysmuoto,Osakeyhtiö,12.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,12.11.2015,,
6,Viimeisin rekisteröintiajankohta,04.02.2023,04.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,12.11.2015,,
8,Yrityksen tila,Rekisterissä,12.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,06.07.2020,
11,Yhteystiedot,,28.10.2015,
12,Postiosoite,Pronssikausi 2  91800  Tyrnävä  Suomi,,
13,Puhelin,040 5453052,,
14,Sähköposti,mikki.valimaki(a)gmail.com,,
