,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Konsultointipalvelu Räsänen Oy,30.11.2022,
1,Y-tunnus,2729435-2,,
2,Kotipaikka,Vihti,11.12.2015,
3,Yritysmuoto,Osakeyhtiö,11.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,11.12.2015,,
6,Viimeisin rekisteröintiajankohta,30.11.2022,30.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,11.12.2015,,
8,Yrityksen tila,Rekisterissä,30.11.2022,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,04.12.2015,
12,Postiosoite,Jokikunnantie 388 A  03430  Jokikunta  Suomi,,
13,Puhelin,044 5047526,,
14,Sähköposti,mika.rasanen(a)gmail.com,,
