,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kellolammen leipomo & kahvila Oy,17.02.2015,
1,Y-tunnus,2671365-8,,
2,Kotipaikka,Vaala,17.02.2015,
3,Yritysmuoto,Osakeyhtiö,17.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,17.02.2015,,
6,Lakkaamisajankohta,02.09.2020,02.09.2020,
7,Viimeisin rekisteröintiajankohta,02.09.2020,02.09.2020,
8,Yrityksen tiedot järjestelmässä alkaen,17.02.2015,,
9,Yrityksen tila,Lakannut,02.09.2020,
10,Yrityksellä on yrityskiinnityksiä,Kyllä,,
