,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Ilmakari Oy,20.01.2016,
1,Y-tunnus,2733569-5,,
2,Kotipaikka,Joensuu,20.01.2016,
3,Yritysmuoto,Osakeyhtiö,20.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.01.2016,,
6,Viimeisin rekisteröintiajankohta,26.07.2022,26.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,20.01.2016,,
8,Yrityksen tila,Rekisterissä,20.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,16.06.2020,
11,Yhteystiedot,,28.12.2015,
12,Postiosoite,Ruskealankatu 13 B  80200  Joensuu  Suomi,,
13,Puhelin,+358505271229,,
14,Sähköposti,jarmo.ilmakari(a)gmail.com,,
