,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Free Will Oy,17.09.2015,
1,Y-tunnus,2710649-7,,
2,Kotipaikka,Espoo,17.09.2015,
3,Yritysmuoto,Osakeyhtiö,17.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,17.09.2015,,
6,Viimeisin rekisteröintiajankohta,12.01.2023,12.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,17.09.2015,,
8,Yrityksen tila,Rekisterissä,17.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,11.09.2015,
12,Postiosoite,Kalkkikuja 9 B  02730  Espoo  Suomi,,
13,Käyntiosoite,kalkkikuja 9 B  02730  Espoo  Suomi,,
14,Puhelin,050-4240014,,
