,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Mudi Oy,08.12.2015,
1,Y-tunnus,2727825-6,,
2,Kotipaikka,Helsinki,08.12.2015,
3,Yritysmuoto,Osakeyhtiö,08.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.12.2015,,
6,Viimeisin rekisteröintiajankohta,06.10.2022,06.10.2022,
7,Yrityksen tiedot järjestelmässä alkaen,08.12.2015,,
8,Yrityksen tila,Rekisterissä,08.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,23.02.2021,
11,Yhteystiedot,,08.01.2016,
12,Postiosoite,Metsänhoitajankatu 3 A 8  00790  Helsinki  Suomi,,
13,Käyntiosoite,aurinkoranta 10  00980  Helsinki  Suomi,,
14,Sähköposti,kgrabbi(a)hotmail.com,,
