,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Fast Cargo Finland Oy,01.05.2018,
1,Y-tunnus,2721344-4,,
2,Kotipaikka,Helsinki,01.05.2018,
3,Yritysmuoto,Osakeyhtiö,01.05.2018,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,19.11.2015,,
6,Viimeisin rekisteröintiajankohta,29.07.2022,29.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,19.11.2015,,
8,Yrityksen tila,Rekisterissä,19.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,27.01.2021,
11,Yhteystiedot,,25.05.2020,
12,Postiosoite,Mäkelänkatu 7 A 4  00550  Helsinki  Suomi,,
13,Käyntiosoite,Mäkelänkatu 7 A 4  00550  Helsinki  Suomi,,
14,Puhelin,0505328867,,
15,Sähköposti,anu.riikka.turunen(a)gmail.com,,
