,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,EquineHealthCare ER Oy,25.01.2016,
1,Y-tunnus,2735228-4,,
2,Kotipaikka,Helsinki,25.01.2016,
3,Yritysmuoto,Osakeyhtiö,25.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,25.01.2016,,
6,Viimeisin rekisteröintiajankohta,21.04.2023,21.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,25.01.2016,,
8,Yrityksen tila,Rekisterissä,25.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,08.12.2021,
11,Yhteystiedot,,12.05.2023,
12,Postiosoite,c/o Erika Ruokamo  Soodakuja 6 A 3  00390  Helsinki  Suomi,,
13,Käyntiosoite,c/o Erika Ruokamo  LImonadikuja 8 A 1  00390  Helsinki  Suomi,,
14,Puhelin,0440100691,,
15,Sähköposti,erika.ruokamo(a)gmail.com,,
16,Www,http://www.erikaruokamo.fi,,
