,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,MapThese Ltd Oy Ab,27.08.2021,
1,Y-tunnus,2682488-4,,
2,Kotipaikka,Helsinki,26.03.2015,
3,Yritysmuoto,Osakeyhtiö,26.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.03.2015,,
6,Viimeisin rekisteröintiajankohta,08.11.2021,08.11.2021,
7,Yrityksen tiedot järjestelmässä alkaen,26.03.2015,,
8,Yrityksen tila,Rekisterissä,27.08.2021,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,08.11.2021,
11,Yhteystiedot,,06.09.2021,
12,Postiosoite,c/o Petri Kotro  Raatteentie 2 A 4  90140  Oulu  Suomi,,
13,Käyntiosoite,c/o Petri Kotro  Raatteentie 2 A 4  90140  Oulu  Suomi,,
14,Puhelin,0405802467,,
15,Sähköposti,petri.kotro(a)mapthese.com,,
16,Www,http://www.mapthese.com,,
