,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Teiskon Monitoimi Oy,10.12.2015,
1,Y-tunnus,2730043-3,,
2,Kotipaikka,Tampere,10.12.2015,
3,Yritysmuoto,Osakeyhtiö,10.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,10.12.2015,,
6,Viimeisin rekisteröintiajankohta,10.02.2023,10.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,10.12.2015,,
8,Yrityksen tila,Rekisterissä,10.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,28.06.2020,
11,Yhteystiedot,,28.04.2019,
12,Postiosoite,Koivupohjantie 16  34260  Terälahti  Suomi,,
13,Käyntiosoite,Koivupohjantie 16  34260  Terälahti  Suomi,,
14,Puhelin,0400834603,,
15,Sähköposti,matti.rontu(a)teiskonmonitoimi.fi,,
