,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kiinteistö Oy Oulun Pauketie 2,01.07.2015,
1,Y-tunnus,2698329-5,,
2,Kotipaikka,Oulu,01.07.2015,
3,Yritysmuoto,Osakeyhtiö,01.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.07.2015,,
6,Viimeisin rekisteröintiajankohta,10.03.2023,10.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,01.07.2015,,
8,Yrityksen tila,Rekisterissä,01.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,01.06.2020,
11,Yhteystiedot,,19.02.2020,
12,Postiosoite,Männistönraitti 5 B 39  33410  Tampere  Suomi,,
13,Käyntiosoite,Männistönraitti 5 B 39  33410  Tampere  Suomi,,
14,Puhelin,+358407717234,,
15,Sähköposti,joona(a)karlsson.fi,,
