,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Tuulialfa Oy,08.04.2015,
1,Y-tunnus,2683287-6,,
2,Kotipaikka,Espoo,08.04.2015,
3,Yritysmuoto,Osakeyhtiö,08.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.04.2015,,
6,Viimeisin rekisteröintiajankohta,13.12.2022,13.12.2022,
7,Yrityksen tiedot järjestelmässä alkaen,08.04.2015,,
8,Yrityksen tila,Rekisterissä,08.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,14.04.2022,
11,Yhteystiedot,,08.01.2020,
12,Postiosoite,PL 2  00391  Helsinki  Suomi,,
13,Puhelin,"0449770409, 0449770409",,
14,Sähköposti,antti.tanskanen(a)tuulialfa.fi,,
15,Www,http://www.tuulialfa.fi,,
