,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Paalupiha Oy,06.05.2015,
1,Y-tunnus,2687277-1,,
2,Kotipaikka,Iisalmi,06.05.2015,
3,Yritysmuoto,Osakeyhtiö,06.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,06.05.2015,,
6,Viimeisin rekisteröintiajankohta,25.03.2022,25.03.2022,
7,Yrityksen tiedot järjestelmässä alkaen,06.05.2015,,
8,Yrityksen tila,Rekisterissä,06.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,03.12.2019,
11,Yhteystiedot,,21.04.2015,
12,Postiosoite,Kankaankatu 18  74120  Iisalmi  Suomi,,
13,Puhelin,045 6155565,,
14,Sähköposti,timo_oksman(a)luukku.com,,
