,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Katto Consulting Oy,09.04.2015,
1,Y-tunnus,2683770-6,,
2,Kotipaikka,Kokkola,09.04.2015,
3,Yritysmuoto,Osakeyhtiö,09.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,09.04.2015,,
6,Viimeisin rekisteröintiajankohta,07.09.2022,07.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,09.04.2015,,
8,Yrityksen tila,Rekisterissä,09.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,01.07.2020,
11,Yhteystiedot,,27.04.2021,
12,Postiosoite,Taskulantie 7  68300  Kälviä  Suomi,,
13,Käyntiosoite,Taskulantie 7  68300  Kälviä  Suomi,,
14,Puhelin,0400560233,,
15,Sähköposti,reino.styrman(a)kattoconsulting.fi,,
16,Www,http://www.kattoconsulting.fi,,
