,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Pro Building Oy,29.10.2015,
1,Y-tunnus,2712919-7,,
2,Kotipaikka,Helsinki,29.10.2015,
3,Yritysmuoto,Osakeyhtiö,29.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,29.10.2015,,
6,Viimeisin rekisteröintiajankohta,02.03.2023,02.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,29.10.2015,,
8,Yrityksen tila,Rekisterissä,29.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,03.09.2021,
12,Postiosoite,Maneesikatu 2a B 15  00170  Helsinki  Suomi,,
13,Käyntiosoite,Maneesikatu 2a B 15  00170  Helsinki  Suomi,,
14,Puhelin,0408257369,,
15,Sähköposti,jprajamaki(a)gmail.com,,
