,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Rakennus PeMicon Oy,16.02.2016,
1,Y-tunnus,2735988-1,,
2,Kotipaikka,Kauhava,16.02.2016,
3,Yritysmuoto,Osakeyhtiö,16.02.2016,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,16.02.2016,,
6,Viimeisin rekisteröintiajankohta,11.05.2023,11.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,16.02.2016,,
8,Yrityksen tila,Rekisterissä,16.02.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,12.01.2016,
12,Postiosoite,Töyrätie 2  62300  Härmä  Suomi,,
13,Käyntiosoite,Töyrätie 2  62300  Härmä  Suomi,,
14,Puhelin,0503048635,,
15,Sähköposti,petri.makinen(a)hotmail.fi,,
