,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Clenercon Oy,13.10.2015,
1,Y-tunnus,2714916-3,,
2,Kotipaikka,Espoo,13.10.2015,
3,Yritysmuoto,Osakeyhtiö,13.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,13.10.2015,,
6,Viimeisin rekisteröintiajankohta,14.04.2023,14.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,13.10.2015,,
8,Yrityksen tila,Rekisterissä,13.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,26.06.2020,
11,Yhteystiedot,,01.10.2015,
12,Postiosoite,Etelätie 8 C 2  02710  Espoo  Suomi,,
13,Käyntiosoite,Etelätie 8 C 2  02710  Espoo  Suomi,,
14,Puhelin,"0405015184, 0405015184",,
15,Sähköposti,rho.rintamaa(a)gmail.com,,
