,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Vattenfall Services Nordic Oy,21.04.2015,
1,Y-tunnus,2680354-9,,
2,Kotipaikka,Helsinki,21.04.2015,
3,Yritysmuoto,Osakeyhtiö,21.04.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,21.04.2015,,
6,Lakkaamisajankohta,30.12.2022,30.12.2022,
7,Viimeisin rekisteröintiajankohta,12.01.2023,12.01.2023,
8,Yrityksen tiedot järjestelmässä alkaen,21.04.2015,,
9,Yrityksen tila,Lakannut,30.12.2022,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
