,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Numminen Forest Oy,12.01.2016,
1,Y-tunnus,2725184-6,,
2,Kotipaikka,Eurajoki,19.01.2017,
3,Yritysmuoto,Osakeyhtiö,12.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,12.01.2016,,
6,Viimeisin rekisteröintiajankohta,09.07.2022,09.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,12.01.2016,,
8,Yrityksen tila,Rekisterissä,12.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,16.11.2015,
12,Postiosoite,Eekintie 6  29100  Luvia  Suomi,,
13,Käyntiosoite,Eekintie 6  29100  Luvia  Suomi,,
14,Puhelin,0500328333,,
15,Sähköposti,raunonumminen(a)hotmail.com,,
16,Www,http://www.satakunnanmetsapalvelut.fi,,
