,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Bruun Audit Oy,29.09.2015,
1,Y-tunnus,2712921-8,,
2,Kotipaikka,Helsinki,29.09.2015,
3,Yritysmuoto,Osakeyhtiö,29.09.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,29.09.2015,,
6,Viimeisin rekisteröintiajankohta,31.01.2023,31.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,29.09.2015,,
8,Yrityksen tila,Rekisterissä,29.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,08.02.2021,
11,Yhteystiedot,,22.09.2015,
12,Postiosoite,Peräsintie 12 A  00980  Helsingfors  Suomi,,
13,Käyntiosoite,Peräsintie 12 A  00980  Helsingfors  Suomi,,
14,Puhelin,0405507957,,
15,Sähköposti,eva.bruun(a)kolumbus.fi,,
