,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Silmälääkäripalvelu Bella's Best Oy,10.02.2021,
1,Y-tunnus,2668714-6,,
2,Kotipaikka,Helsinki,09.02.2015,
3,Yritysmuoto,Osakeyhtiö,09.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,09.02.2015,,
6,Viimeisin rekisteröintiajankohta,03.06.2022,03.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,09.02.2015,,
8,Yrityksen tila,Rekisterissä,09.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,28.01.2020,
11,Yhteystiedot,,02.01.2022,
12,Postiosoite,Simonkatu 12 B 33  00100  Helsinki  Suomi,,
13,Käyntiosoite,Simonkatu 12 B 33  00100  Helsinki  Suomi,,
14,Sähköposti,mika.vaajanen(a)gmail.com,,
