,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,EdUbi Oy,23.12.2015,
1,Y-tunnus,2725770-3,,
2,Kotipaikka,Oulu,23.12.2015,
3,Yritysmuoto,Osakeyhtiö,23.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,23.12.2015,,
6,Viimeisin rekisteröintiajankohta,11.08.2022,11.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,23.12.2015,,
8,Yrityksen tila,Rekisterissä,23.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.04.2020,
11,Yhteystiedot,,16.02.2020,
12,Postiosoite,Veijolankuja 4  90150  Oulu  Suomi,,
13,Käyntiosoite,Veijolankuja 4  90150  Oulu  Suomi,,
14,Puhelin,0405143874,,
15,Sähköposti,satu.kaleva1(a)gmail.com,,
16,Www,http://edubi.fi,,
