,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,OlliGo Oy,04.12.2017,
1,Y-tunnus,2728109-2,,
2,Kotipaikka,Lahti,04.12.2017,
3,Yritysmuoto,Osakeyhtiö,04.12.2017,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,04.12.2015,,
6,Viimeisin rekisteröintiajankohta,18.05.2023,18.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,04.12.2015,,
8,Yrityksen tila,Rekisterissä,04.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.07.2020,
11,Yhteystiedot,,30.11.2015,
12,Postiosoite,Tuiviokatu 2  15320  Lahti  Suomi,,
13,Puhelin,0445266940,,
14,Sähköposti,olli.goos(a)prima-rakentajat.fi,,
