,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Schuetten Consulting Ab Ltd,01.07.2015,
1,Y-tunnus,2697705-5,,
2,Kotipaikka,Sund,01.07.2015,
3,Yritysmuoto,Osakeyhtiö,01.07.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,01.07.2015,,
6,Viimeisin rekisteröintiajankohta,17.05.2022,17.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,01.07.2015,,
8,Yrityksen tila,Rekisterissä,01.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,09.02.2021,
11,Yhteystiedot,,23.06.2015,
12,Postiosoite,Sundsvägen 1701  22530  Sund  Suomi,,
13,Käyntiosoite,Sundsvägen 1701  22530  Sund  Suomi,,
14,Puhelin,+3584573424261,,
15,Sähköposti,erik(a)schuetten.ax,,
