,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Imobis Oy,26.01.2015,
1,Y-tunnus,2663915-2,,
2,Kotipaikka,Lappeenranta,26.01.2015,
3,Yritysmuoto,Osakeyhtiö,26.01.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.01.2015,,
6,Viimeisin rekisteröintiajankohta,13.05.2022,13.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,26.01.2015,,
8,Yrityksen tila,Rekisterissä,26.01.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,29.06.2020,
11,Yhteystiedot,,17.09.2020,
12,Postiosoite,c/o Nina Shubinskaia  Tainionkoskentie 22 as. 7  55100  Imatra  Suomi,,
13,Käyntiosoite,Tainionkoskentie 22 as. 7  55100  Imatra  Suomi,,
14,Puhelin,0505551184,,
15,Sähköposti,info(a)imobis.fi,,
16,Www,http://www.imobis.fi,,
